,x,y
0,0.0,0.0
1,0.0,1000.0
2,0.0,2000.0
3,0.0,3000.0
4,0.0,4000.0
5,0.0,5000.0
6,0.0,6000.0
7,1000.0,6000.0
8,1000.0,5000.0
9,1000.0,4000.0
10,1000.0,3000.0
11,1000.0,2000.0
12,1000.0,1000.0
13,1000.0,0.0
14,2000.0,0.0
15,2000.0,1000.0
16,2000.0,2000.0
17,2000.0,3000.0
18,2000.0,4000.0
19,2000.0,5000.0
20,2000.0,6000.0
21,3000.0,6000.0
22,3000.0,5000.0
23,3000.0,4000.0
24,3000.0,3000.0
25,3000.0,2000.0
26,3000.0,1000.0
27,3000.0,0.0
28,4000.0,0.0
29,4000.0,1000.0
30,4000.0,2000.0
31,4000.0,3000.0
32,4000.0,4000.0
33,4000.0,5000.0
34,4000.0,6000.0
35,5000.0,6000.0
36,5000.0,5000.0
37,5000.0,4000.0
38,5000.0,3000.0
39,5000.0,2000.0
40,5000.0,1000.0
41,5000.0,0.0
42,6000.0,0.0
43,6000.0,1000.0
44,6000.0,2000.0
45,6000.0,3000.0
46,6000.0,4000.0
47,6000.0,5000.0
48,6000.0,6000.0
49,7000.0,6000.0
50,7000.0,5000.0
51,7000.0,4000.0
52,7000.0,3000.0
53,7000.0,2000.0
54,7000.0,1000.0
55,7000.0,0.0
